DATE,DFII10
2019-10-10,0.15
2019-10-11,0.20
2019-10-14,.
2019-10-15,0.21
2019-10-16,0.18
2019-10-17,0.17
2019-10-18,0.16
2019-10-21,0.19
2019-10-22,0.17
2019-10-23,0.16
2019-10-24,0.15
2019-10-25,0.15
2019-10-28,0.21
2019-10-29,0.23
2019-10-30,0.21
2019-10-31,0.15
2019-11-01,0.14
2019-11-04,0.15
2019-11-05,0.18
2019-11-06,0.15
2019-11-07,0.23
2019-11-08,0.23
2019-11-11,.
2019-11-12,0.22
2019-11-13,0.22
